"ANTH","4900            ","SPEC TOPICS-ANTHRO "
"ANTH","4915            ","TOPICS IN RESEARCH "
"ANTH","4950            ","INDIV TOPICS ANT   "
"ANTH","6050            ","HISTORY OF ANTH    "
"ANTH","6061            ","PALEOANTHROPOLOGY  "
"ANTH","6080            ","ARCH OF SOUTHWEST  "
"ANTH","6095            ","UNDERWATER ARCH    "
"ANTH","6110            ","ANTH & AMRCN RELIGN"
"ANTH","6210            ","ZOOARCHAEOLOGY     "
"ANTH","6225            ","MEXICAN CIVILIZATIO"
"ANTH","6245            ","ORAL LIT           "
"ANTH","6290            ","ENVIRONMENTAL ARCH "
"ANTH","6461            ","AFRICAN ETHNOGRAPHY"
"ANTH","6550            ","ETHNOHISTORY       "
"ANTH","6560            ","ANTH OF DEVELOPMENT"
"ANTH","6620            ","MTHDS SOC-CULTR ANT"
"ANTH","6790            ","HUMAN ADAPTATION   "
"ANTH","6900            ","SPEC TOPICS-ANTHRO "
"ANTH","8000            ","SPEC TOPICS ANTHRO "
"ANTH","8000E           ","SPEC TOPICS ANTHRO "
"ANTH","8040            ","SEMINAR ANTHRO     "
"ANTH","8200            ","SEMINAR ARCHAEOLOGY"
"ANTH","8400            ","HUMAN POPUL ECOL   "
"ANTH","8420            ","HUMAN ECOSYS EVOLU "
"ANTH","8500            ","SEM ECOL ANTH      "
"ANTH","8520            ","CUL DIMEN BIODIVERS"
"ANTH","8560            ","CONS & DEV PRACTICE"
"ANTH","8610            ","FIELD METH ECOL ANT"
"ANTH","8755            ","TOPICS IN RESEARCH "
"ANTH","9000            ","DOCTORAL RESEARCH  "
"ANTH","9005            ","DOC GRAD STU SEM   "
"ANTH","9300            ","DOCT DISSERTATION  "
"APTC","6450            ","OPEN CHANNEL SCIENC"
"ARAB","1002            ","ELEM STND ARB II   "
"ARAB","2004            ","INTERMDTE ARB II   "
"ARAB","3006            ","ADVANCED ARB II    "
"ARAB","4100            ","READ AND RSCH ARB  "
"ARAB","4108            ","ISLAMIC ARABIC II  "
"ARAB","4202            ","ADV CNV CMP ARAB II"
"ARAB","4300            ","MEDIA ARAB         "
"ARAB","6100            ","READ AND RSCH ARB  "
"ARAB","6108            ","ISLAMIC ARABIC II  "
"ARED","2110            ","CRIT&CONTEMP ISSUES"
"ARED","3050            ","ART AND THE CHILD  "
"ARED","3350            ","ELEM CUR ART ED    "
"ARED","3360            ","SEC CUR ART ED     "
"ARED","4010            ","ART CRIT AES UND   "
"ARED","5310            ","MULTICULT ART ED   "
"ARED","5460            ","STU TCH ART EDU    "
"ARED","5470            ","ISS AND PRAC       "
"ARED","5500            ","INT TO MUS ED      "
"ARED","6010            ","ART CRIT AES UND   "
"ARED","7310            ","MULTICULT ART ED   "
"ARED","7350            ","TCHNG ART ELEM SCH "
"ARED","7360            ","SEC CUR ART ED     "
"ARED","7370            ","CURR THEOPRAC IN AE"
"ARED","7460            ","STU TCH ART EDU    "
"ARED","7470            ","ISS AND PRAC       "
"ARED","7500            ","INT TO MUS ED      "
"ARED","7650            ","APP PROJECT ART EDU"
"ARED","9300            ","DOCT DISSERTATION  "
"ARGD","2010            ","GRAPHICS SURVEY    "
"ARGD","3010            ","DES DRAW TECH      "
"ARGD","3020            ","ELECTRONIC DESIGN  "
"ARGD","3030            ","TYPOGRAPHY         "
"ARGD","3050            ","ILLUSTRATION       "
"ARGD","3060            ","LAYOUT             "
"ARGD","3070            ","HIS OF GRA DES     "
"ARGD","3080            ","INTERN GRA DES     "
"ARGD","3090            ","PHOTO FOR GRAPHICS "
"ARGD","3320            ","DSN SCI ILL        "
"ARGD","3340            ","DIR STU SCI ILL    "
"ARGD","4020            ","ENVI GRA DES       "
"ARGD","4030            ","ADV TYPOGRAPHY     "
"ARGD","4060            ","ADV LAYOUT         "
"ARGD","4070            ","3-D GRA DES        "
"ARGD","4080            ","SP PROB IN DESIGN  "
"ARGD","4090            ","ADV ELEC DES       "
"ARGD","4110            ","PORTFOLIO PROJ     "
"ARHI","2300            ","ART HISTORY I      "
"ARHI","2400            ","ART HISTORY II     "
"ARHI","2411H           ","ART HISTORY II     "
"ARHI","3004            ","ROMAN ART & ARCH   "
"ARHI","3010            ","MEDIEVAL ART&ARCHIT"
"ARHI","3025            ","DECOR ARTS 15-16 C "
"ARHI","3030            ","BAROQUE ART I      "
"ARHI","3080            ","CONTEMPORARY ART   "
"ARHI","3940            ","GENDER & ART HIST  "
"ARHI","4008            ","ROMAN SCULPTURE    "
"ARHI","4050            ","ICONS IN BYZANTIUM "
"ARHI","4160            ","BUDDHIST ART       "
"ARHI","4200            ","15TH CENTURY ITALY "
"ARHI","4210            ","16TH CENTURY ITALY "
"ARHI","4530            ","19TH C PHOTOGRAPHY "
"ARHI","4800            ","SENIOR SEMINAR     "
"ARHI","4920            ","TOPICS MODERN ART  "
"ARHI","4950            ","INDEPENDENT STUDY  "
"ARHI","4995            ","MUSEUM INTERNSHIP  "
"ARHI","6008            ","ROMAN SCULPTURE    "
"ARHI","6050            ","ICONS IN BYZANTIUM "
"ARHI","6160            ","BUDDHIST ART       "
"ARHI","6200            ","15TH CENTURY ITALY "
"ARHI","6530            ","19TH C PHOTOGRAPHY "
"ARHI","6920            ","TOPICS MODERN ART  "
"ARHI","7000            ","MASTER'S RESEARCH  "
"ARHI","7300            ","MASTER'S THESIS    "
"ARHI","8110            ","SPECIAL PROBLEMS   "
"ARHI","8872            ","ASIAN ART SEMINAR  "
"ARHI","8920            ","SEMINAR 20TH CEN   "
"ARID","2210            ","CONCEPTS IN DESIGN "
"ARID","3110            ","STUDIO II          "
"ARID","3125            ","INTERNSHIP PREP    "
"ARID","3310            ","BUILDING SYSTEMS   "
"ARID","3340            ","FURN DESIGN        "
"ARID","3410            ","CAD FOR INTERIORS  "
"ARID","3420            ","PROFESSIONAL APPS  "
"ARID","4010            ","INTERNSHIP         "
"ARID","4100            ","STUDIO IV          "
"ARID","4150            ","SPECIAL TOPICS     "
"ARID","4410            ","TIME-BASED DESIGN  "
"ARID","4650            ","SENIOR EXIT IN ID  "
"ARID","6100            ","STUDIO IV          "
"ARID","6150            ","SPECIAL TOPICS     "
"ARID","6410            ","TIME-BASED DESIGN  "
"ARID","6420            ","ADV TIME-BASED DES "
"ARID","7080            ","DS IN INT DESIGN   "
"ARID","7900            ","INTERIOR DESIGN    "
"ARST","1040            ","PROSEMINAR IN ART  "
"ARST","1050            ","DRAWING I          "
"ARST","1050H           ","DRAWING I HONORS   "
"ARST","1060            ","COLOR/COMPOSITION  "
"ARST","1070            ","DRAWING II         "
"ARST","1080            ","THREE DIMENSIONAL D"
"ARST","2000            ","INTRO FIG DRAWING  "
"ARST","2010            ","INTERMEDIATE DRAW  "
"ARST","2100            ","INTRO PAINTING     "
"ARST","2110            ","INTERM PAINTING    "
"ARST","2210            ","INTRO PHOTO/CULTURE"
"ARST","2300            ","INTRO PRTMKG RELIEF"
"ARST","2310            ","INTRO PRTMK INTAG  "
"ARST","2330            ","BEG SCREEN PRINT   "
"ARST","2340            ","DIGITAL PRINTMAKING"
"ARST","2400            ","SCULPTURE I        "
"ARST","2410            ","FIGURE SCULPTURE   "
"ARST","2500            ","INTRO TO CERAMICS  "
"ARST","2600            ","JEWELRY & METALWORK"
"ARST","2700            ","TEXTILE FOUNDATIONS"
"ARST","2710            ","SURFACE DESIGN     "
"ARST","2800            ","INTRO DIGI IMAGING "
"ARST","2810            ","HYPERMEDIA         "
"ARST","3010            ","ADVANCED DRAWING   "
"ARST","3120            ","AQUEOUS MEDIA      "
"ARST","3130            ","FIGURE PAINTING    "
"ARST","3140            ","PAINTING STUDIO    "
"ARST","3145            ","FIGURE NARRATIVE   "
"ARST","3150            ","FIGURE PAINTING    "
"ARST","3200            ","B&W PHOTOGRAPHY    "
"ARST","3205            ","DIG STORYTELL/VID  "
"ARST","3210            ","COLOR PHOTOGRAPHY  "
"ARST","3220            ","LARGE FORMAT PHOTO "
"ARST","3221            ","LG FORMAT PHOTO II "
"ARST","3230            ","INTERN IN PHOTOG   "
"ARST","3250            ","CONSTRUCTED IMAGE  "
"ARST","3251            ","CONSTRUCT IMAGE II "
"ARST","3310            ","INTRO BK ARTS/PAPER"
"ARST","3320            ","INTRO BKARTS/LETRPR"
"ARST","3340            ","ADV PRINTMAKING    "
"ARST","3400            ","CONSTRUCT I        "
"ARST","3410            ","CONSTRUCT II       "
"ARST","3420            ","CARVING SCULPT I   "
"ARST","3430            ","CARVING SCULPT II  "
"ARST","3440            ","METAL CASTING I    "
"ARST","3450            ","METAL CASTING II   "
"ARST","3460            ","FIGURE SCULPTURE II"
"ARST","3500            ","INTERMED CERAMICS  "
"ARST","3610            ","JEWELRY            "
"ARST","3620            ","METALWORK          "
"ARST","3710            ","ADVANCED WEAVING   "
"ARST","3760            ","ADV STUDIO PRACTICE"
"ARST","3770            ","DESIGN FOR INDUSTRY"
"ARST","3780            ","MATERIAL FUTURES   "
"ARST","3800            ","TRANSMEDIA         "
"ARST","3830            ","DIGITAL VIDEO I    "
"ARST","3840            ","INTERDIS ART I     "
"ARST","3870            ","E-GADGETS EXP MEDIA"
"ARST","4020            ","FIG DRAWING/ANAT   "
"ARST","4080            ","DIR STU IN DRAWING "
"ARST","4090            ","SR EXIT IN DRAW    "
"ARST","4110            ","SR EXIT PAINTING   "
"ARST","4180            ","DIR STU IN PAINTING"
"ARST","4200            ","ADVANCED PHOTOG    "
"ARST","4201            ","ADVANCED PHOTO II  "
"ARST","4210            ","SPECIAL TOPICS     "
"ARST","4220            ","SENIOR EXIT & FOLIO"
"ARST","4230            ","EXT INTERN IN PHOTO"
"ARST","4270            ","SOCIAL DOCUMENTARY "
"ARST","4280            ","DIR STU IN PHOTO   "
"ARST","4285            ","ALTERNATIVE PHOTO  "
"ARST","4300            ","PRTMKG:INTERNSHIP  "
"ARST","4310            ","SR EXIT PRINTMAKING"
"ARST","4330            ","PRTMKG SPEC TOPIC I"
"ARST","4380            ","DIR STU IN PRINT   "
"ARST","4400            ","METAL CASTING III  "
"ARST","4410            ","FIGURE SCULPT III  "
"ARST","4430            ","CARVING SCULPT III "
"ARST","4440            ","CONSTRUCT III      "
"ARST","4450            ","SCULPTURE SR EXIT  "
"ARST","4500            ","ADV CERAMICS       "
"ARST","4590            ","SEN EX SHOW CERAMIC"
"ARST","4600            ","ADVANCED JEWELRY   "
"ARST","4610            ","ADVANCED METAL WORK"
"ARST","4620            ","BFA PROJ JWLY MTLWK"
"ARST","4680            ","DIR STU IN JEW/MET "
"ARST","4710            ","BFA PROJ FAB DSGN  "
"ARST","4800            ","S/TOPICS ART & TECH"
"ARST","4830            ","DIGITAL VIDEO II   "
"ARST","4840            ","INTERDIS ART II    "
"ARST","4860            ","VIDEO INSTALLATION "
"ARST","4930            ","INTERNSHIP IN ART  "
"ARST","6020            ","FIG DRAWING/ANAT   "
"ARST","6250            ","CONSTRUCTED IMAGE  "
"ARST","6270            ","SOCIAL DOCUMENTARY "
"ARST","6285            ","ALTERNATIVE PHOTO  "
"ARST","6800            ","S/TOPICS ART & TECH"
"ARST","7000            ","MASTER'S RESEARCH  "
"ARST","7020            ","DRAW AND COMP      "
"ARST","7030            ","DRAW AND COMP      "
"ARST","7040            ","DRAW AND COMP      "
"ARST","7080            ","DIR STU IN DRAWING "
"ARST","7110            ","PAINTING           "
"ARST","7120            ","PAINTING           "
"ARST","7130            ","PAINTING           "
"ARST","7180            ","DIR STU IN PAINTING"
"ARST","7210            ","SPECIAL TOPICS     "
"ARST","7230            ","GRAD PHOTOGRAPHY I "
"ARST","7240            ","GRAD PHOTO II      "
"ARST","7280            ","DIR STU IN PHOTO   "
"ARST","7310            ","BK ART/PAPERMAKING "
"ARST","7320            ","BK ART/LETTERPRES  "
"ARST","7330            ","GRADUATE PRTMKG    "
"ARST","7380            ","DIR STU IN PRTMKG  "
"ARST","7410            ","FIGURE SCULPTURE   "
"ARST","7420            ","SCULPTURE MATERIALS"
"ARST","7430            ","GRAD CASTING ADV   "
"ARST","7480            ","SCULPTURE DIR STUDY"
"ARST","7500            ","CERAMICS           "
"ARST","7510            ","TECH PROB CER      "
"ARST","7520            ","IND RES IN CER     "
"ARST","7530            ","IND RES CER        "
"ARST","7580            ","DIR STU IN CER     "
"ARST","7630            ","JEWELRY            "
"ARST","7640            ","METALWORK          "
"ARST","7650            ","METALWORK          "
"ARST","7680            ","DIR STU IN JEWELRY "
"ARST","7700            ","WEAVING            "
"ARST","7710            ","SURFACE DESIGN     "
"ARST","7760            ","ADV STUDIOPRACTICES"
"ARST","7780            ","DIR STU IN FABRIC  "
"ARST","7800            ","INTERSTITIAL ART   "
"ARST","7840            ","INTERDIS COLLAB ART"
"ARST","7980            ","DR ST MAJ STD AREA "
"ARST","8000            ","GENERAL ART        "
"ARST","9210            ","GRAD EXIT STUDIO   "
"ARTI","4950            ","DIR READING COG SCI"
"ARTI","4960H           ","DIR READING HONORS "
"ARTI","5007            ","INTERN ARTI BUS/IND"
"ARTI","7000            ","MASTER'S RESEARCH  "
"ARTI","7007            ","INTERN AI BUS/IND  "
"ARTI","7300            ","MASTER'S THESIS    "
"ARTI","8000            ","TOPICS IN AI       "
"ARTI","8800            ","READINGS IN AI     "
"ARTS","2000            ","ART APPREC         "
"ARTS","2050            ","CULT DIV AM ART    "
"ARTS","4920            ","SEM IN CONT ART    "
"ARTS","6920            ","SEM IN CONT ART    "
"ARTS","7005            ","GRAD STUDENT SEM   "
"ARTS","7990            ","TEACHING PRACTICUM "
"ARTS","8100            ","GRAD SEM ART       "
"ARTS","9000            ","DOCTORAL RESEARCH  "
"ARTS","9005            ","DOC GRAD STU SEM   "
"ARTS","9010            ","DIR STUDY ART HIST "
"ARTS","9300            ","DOCT DISSERTATION  "
"ASTR","1010            ","ASTRO SOLAR SYSTEM "
"ASTR","1010L           ","ASTRO SOLS SYS LAB "
"ASTR","1020            ","STEL & GALAC ASTRO "
"ASTR","1020L           ","STEL&GAL ASTRO LAB "
"ASTR","1120            ","INTR ASTR MAJORS II"
"ASTR","1120H           ","INTRO ASTRO HONORS "
"ASTR","1120L           ","INTRO AST HNRS LAB "
"ASTR","1420            ","LIFE IN UNIVERSE   "
"ASTR","2030L           ","INTR ASTR OBSERV   "
"ASTR","4030            ","ASTR III COSMOLOGY "
"ASTR","4330            ","ASTRONOMY SEMINAR  "
"ASTR","4660            ","ASTRO RESEARCH     "
"ASTR","4960H           ","DIRECTED RESEARCH H"
"ASTR","4970H           ","DIRECTED RSRCH HON "
"ASTR","4990H           ","HONORS THESIS      "
"ASTR","6030            ","ASTR III COSMOLOGY "
"ASTR","6330            ","ASTRONOMY SEMINAR  "
"ASTR","7010            ","INTRO ASTR TEACHERS"
"ASTR","7020            ","INTR ASTR TCH STARS"
"ASTR","8210            ","ASTRONOMY SEMINAR  "
"BCHE","3180            ","BIOCHEM ENG LAB    "
"BCHE","3420            ","KINETIC REACTOR DES"
"BCHE","4180            ","ADV BIOCHEM ENG LAB"
"BCHE","4360            ","BCHE PROC CONTROL  "
"BCHE","4710            ","BIO ELECTROCHEM ENG"
"BCHE","4920            ","BIOCHEM CAP DESIGN "
"BCHE","6710            ","BIO ELECTROCHEM ENG"
"BCMB","3100            ","INTRODUCT BIOCHEM  "
"BCMB","3600            ","GENOMICS/BIOINFORM "
"BCMB","4000L           ","BTEC METH          "
"BCMB","4020            ","BIOC & MOL BIOL II "
"BCMB","4200            ","BIOTECHNOLOGY      "
"BCMB","4960H           ","BIOC MOL BIO I     "
"BCMB","4960L           ","BIOC&MOL BIO RES I "
"BCMB","4970H           ","BIOC&MOL BIO RES II"
"BCMB","4970L           ","BIOC&MOL BIO RES II"
"BCMB","4990H           ","BMB HONORS THESIS  "
"BCMB","6020            ","BIOC & MOL BIOL II "
"BCMB","6200            ","BIOTECHNOLOGY      "
"BCMB","7000            ","MASTER'S RESEARCH  "
"BCMB","8007            ","FERMENTATION TECH. "
